City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
63,Saint-Philippe,-21.36086,55.7679,23.879999999999995,61,27,4.55,RE,1719658369
64,Natal,-5.795,-35.20944,23.180000000000007,88,0,4.12,BR,1719658370
65,Kpandae,8.46885,-0.01127,29.650000000000034,62,100,3.13,GH,1719658371
66,Kushmurun,52.45107,64.61977,20.350000000000023,54,87,8.79,KZ,1719658372
67,Georgetown,-7.92861,-14.41194,24.79000000000002,72,100,7.05,SH,1719658373
68,Churapcha,62.36119,133.56044,14.990000000000009,75,91,2.63,RU,1719658375
69,Tohautu,-17.74395,-149.32444,25.939999999999998,84,53,12.58,PF,1719658376
70,Barrio Almirante Brown,-54.81084,-68.31591,-2.0499999999999545,86,75,1.03,AR,1719658377
71,Queenstown,-45.03023,168.66271,0.4900000000000091,97,77,1.1,NZ,1719658378
72,Asunción Nochixtlán,17.45916,-97.22605,14.350000000000023,92,92,1.71,MX,1719658379
73,Hithadhoo,-0.6,73.08333,28.49000000000001,64,20,1.92,MV,1719658381
74,Bubaque,11.28333,-15.83333,27.110000000000014,80,35,2.5,GW,1719658382
75,Saint Paul Harbor,57.78852,-152.40533,8.730000000000018,100,100,0.0,US,1719658383
76,Poronaysk,49.22188,143.09694,18.480000000000018,73,68,4.83,RU,1719658384
77,Saint Philip,13.10487,-59.44861,28.29000000000002,83,75,9.26,BB,1719658385
78,Mergen,49.17414,125.21774,21.850000000000023,63,99,0.63,CN,1719658387
79,Bengkulu,-3.80044,102.26554,27.590000000000032,80,18,3.48,ID,1719658388
80,Labrador City,52.94626,-66.91137,12.010000000000048,71,100,8.23,CA,1719658389
81,Constantia,-34.03139,18.41833,21.189999999999998,56,20,8.75,ZA,1719658390
82,Enewetak,11.34735,162.33733,28.590000000000032,77,98,6.72,MH,1719658391
83,Es Castell,39.8776,4.2899,25.480000000000018,73,40,7.72,ES,1719658392
84,St John's,17.63333,-61.83333,28.230000000000018,78,13,8.28,AG,1719658394
85,Tinh Binh Thuan,11.54798,107.80772,22.55000000000001,96,78,1.21,VN,1719658395
86,Iskateley,67.68026,53.15117,10.360000000000014,96,100,5.67,RU,1719658396
87,Edinburgh of the Seven Seas,-37.06757,-12.31155,13.870000000000005,83,99,3.73,SH,1719658397
88,Kan’onjichō,34.1276,133.64598,26.640000000000043,89,100,2.21,JP,1719658398
89,Carnarvon,-24.88258,113.65713,18.870000000000005,63,0,6.49,AU,1719658400
90,Port Lincoln,-34.72625,135.87442,12.050000000000011,57,67,7.74,AU,1719658401
91,Mihalgazi,40.02621,30.57707,30.390000000000043,29,1,6.8,TR,1719658402
92,Badger,64.8,-147.53333,16.010000000000048,78,0,1.54,US,1719658403
93,Mana,5.66906,-53.77897,25.360000000000014,91,58,2.91,GF,1719658404
94,Torghay,49.63389,63.49806,17.79000000000002,65,100,8.6,KZ,1719658405
95,Klyuchi,56.32035,160.84541,15.240000000000009,93,100,1.11,RU,1719658407
96,Egilsstadir,65.26687,-14.39485,6.9500000000000455,87,100,2.06,IS,1719658408
97,Recreo,-29.28184,-65.06096,6.090000000000032,38,0,4.16,AR,1719658409
